audio_file_path,classId,class
/content/drive/MyDrive/연세_석사/3학기/기계학습및프로그래밍/코드/real_data/자유대화 음성(노인남녀)/Training/원천데이터/1.AI챗봇/노인남여_노인대화07_F_1525154657_66_강원_실내/노인남여_노인대화07_F_1525154657_66_강원_실내_08251.wav,2,정상
/content/drive/MyDrive/연세_석사/3학기/기계학습및프로그래밍/코드/real_data/자유대화 음성(노인남녀)/Training/원천데이터/1.AI챗봇/노인남여_노인대화07_F_1534503138_68_강원_실내/노인남여_노인대화07_F_1534503138_68_강원_실내_08207.wav,2,정상
/content/drive/MyDrive/연세_석사/3학기/기계학습및프로그래밍/코드/real_data/자유대화 음성(노인남녀)/Training/원천데이터/1.AI챗봇/노인남여_노인대화07_F_1533524660_71_강원_실내/노인남여_노인대화07_F_1533524660_71_강원_실내_08107.wav,2,정상
/content/drive/MyDrive/연세_석사/3학기/기계학습및프로그래밍/코드/real_data/자유대화 음성(노인남녀)/Training/원천데이터/1.AI챗봇/노인남여_노인대화07_F_1533524660_71_강원_실내/노인남여_노인대화07_F_1533524660_71_강원_실내_08726.wav,2,정상
/content/drive/MyDrive/연세_석사/3학기/기계학습및프로그래밍/코드/real_data/자유대화 음성(노인남녀)/Training/원천데이터/1.AI챗봇/노인남여_노인대화07_F_1533489880_61_강원_실내/노인남여_노인대화07_F_1533489880_61_강원_실내_P00357.wav,2,정상
/content/drive/MyDrive/연세_석사/3학기/기계학습및프로그래밍/코드/real_data/자유대화 음성(노인남녀)/Training/원천데이터/1.AI챗봇/노인남여_노인대화07_F_1533489880_61_강원_실내/노인남여_노인대화07_F_1533489880_61_강원_실내_08086.wav,2,정상
/content/drive/MyDrive/연세_석사/3학기/기계학습및프로그래밍/코드/real_data/자유대화 음성(노인남녀)/Training/원천데이터/1.AI챗봇/노인남여_노인대화07_F_1528090697_61_강원_실내/노인남여_노인대화07_F_1528090697_61_강원_실내_08442.wav,2,정상
/content/drive/MyDrive/연세_석사/3학기/기계학습및프로그래밍/코드/real_data/자유대화 음성(노인남녀)/Training/원천데이터/1.AI챗봇/노인남여_노인대화07_F_1547624123-2_64_수도권_실내/노인남여_노인대화07_F_1547624123-2_64_수도권_실내_P00309.wav,2,정상
/content/drive/MyDrive/연세_석사/3학기/기계학습및프로그래밍/코드/real_data/자유대화 음성(노인남녀)/Training/원천데이터/1.AI챗봇/노인남여_노인대화07_F_1556271619_72_전라_실내/노인남여_노인대화07_F_1556271619_72_전라_실내_08672.wav,2,정상
/content/drive/MyDrive/연세_석사/3학기/기계학습및프로그래밍/코드/real_data/자유대화 음성(노인남녀)/Training/원천데이터/1.AI챗봇/노인남여_노인대화07_F_1556271619_72_전라_실내/노인남여_노인대화07_F_1556271619_72_전라_실내_08498.wav,2,정상
